league,season,appearances,score,st11,⤵,⤴,yellow,red(2yellow),red(only)
EPL,2019/2020,35,1,29,6,15,4,0,0
EPL,2019/2020,37,0,37,0,15,6,0,0
EPL,2019/2020,33,0,16,17,5,9,0,0
EPL,2019/2020,17,0,6,11,5,1,0,0
EPL,2019/2020,31,3,28,3,4,12,0,0
EPL,2019/2020,4,0,2,2,0,1,0,0
EPL,2019/2020,2,0,0,2,0,0,0,0
EPL,2019/2020,17,0,7,10,3,0,0,0
EPL,2019/2020,14,0,11,3,2,1,0,1
EPL,2019/2020,17,3,11,6,6,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,18,1,18,0,2,5,0,0
EPL,2019/2020,24,1,14,10,6,0,0,0
EPL,2019/2020,29,3,29,0,4,0,0,0
EPL,2019/2020,29,0,27,2,3,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,4,37,1,1,5,0,0
EPL,2019/2020,19,0,17,2,4,6,0,0
EPL,2019/2020,8,0,4,4,2,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,27,3,15,12,12,2,0,0
EPL,2019/2020,9,0,2,7,2,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,4,0,2,2,0,0,0,0
EPL,2019/2020,36,13,30,6,10,9,0,0
EPL,2019/2020,27,0,21,6,5,3,1,0
EPL,2019/2020,30,1,23,7,7,8,0,0
EPL,2019/2020,16,0,13,3,2,3,1,0
EPL,2019/2020,35,0,35,0,5,6,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,2,0,1,1,0,0,0,0
EPL,2019/2020,11,0,4,7,4,0,0,0
EPL,2019/2020,27,0,24,3,2,5,0,0
EPL,2019/2020,25,1,19,6,14,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,29,2,6,23,6,1,0,0
EPL,2019/2020,31,2,28,3,0,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,29,2,25,4,2,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,0,38,0,0,2,0,0
EPL,2019/2020,36,13,36,0,10,8,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,25,0,18,7,3,3,0,0
EPL,2019/2020,35,2,28,7,9,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,5,1,2,3,2,0,0,0
EPL,2019/2020,25,2,17,8,16,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,20,0,9,11,7,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,33,8,26,7,22,0,0,0
EPL,2019/2020,36,6,24,12,20,0,0,0
EPL,2019/2020,11,0,7,4,2,2,0,0
EPL,2019/2020,27,3,27,0,2,3,0,0
EPL,2019/2020,20,1,10,10,5,2,1,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,1,38,0,2,7,0,1
EPL,2019/2020,11,0,8,3,1,0,0,0
EPL,2019/2020,21,2,3,18,3,1,0,0
EPL,2019/2020,2,0,0,2,0,0,0,0
EPL,2019/2020,20,5,12,8,10,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,13,0,11,2,0,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,31,6,29,2,6,4,0,0
EPL,2019/2020,7,0,4,3,3,0,0,0
EPL,2019/2020,11,0,4,7,0,0,0,0
EPL,2019/2020,32,2,29,3,3,6,0,0
EPL,2019/2020,27,1,12,15,12,2,0,0
EPL,2019/2020,28,3,28,0,0,1,0,0
EPL,2019/2020,38,0,38,0,0,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,34,1,34,0,0,4,0,1
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,3,0,3,0,1,0,0,0
EPL,2019/2020,37,3,32,5,11,2,0,0
EPL,2019/2020,35,23,34,1,2,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,11,0,9,2,0,1,0,0
EPL,2019/2020,38,4,35,3,4,5,0,0
EPL,2019/2020,29,0,29,0,1,0,0,1
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,2,0,0,2,0,0,0,0
EPL,2019/2020,28,2,22,6,1,6,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,28,0,22,6,1,7,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,30,4,26,4,10,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,6,1,1,5,1,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,18,2,9,9,8,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,15,1,3,12,3,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,10,0,9,1,1,1,0,0
EPL,2019/2020,35,18,31,4,12,3,0,0
EPL,2019/2020,9,1,8,1,1,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,22,2,9,13,2,4,0,0
EPL,2019/2020,10,0,2,8,2,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,28,4,7,21,7,1,0,0
EPL,2019/2020,30,4,17,13,17,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,9,34,4,20,0,0,0
EPL,2019/2020,36,2,34,2,4,2,0,0
EPL,2019/2020,34,19,33,1,13,1,0,0
EPL,2019/2020,7,1,2,5,1,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,5,38,0,0,1,0,0
EPL,2019/2020,37,4,35,2,15,0,0,0
EPL,2019/2020,6,0,3,3,3,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,24,16,18,6,10,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,34,6,23,11,10,5,0,0
EPL,2019/2020,4,0,3,1,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,27,6,22,5,12,0,0,0
EPL,2019/2020,35,13,32,3,12,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,35,0,35,0,0,3,0,1
EPL,2019/2020,13,0,8,5,2,1,0,0
EPL,2019/2020,30,0,26,4,3,7,1,1
EPL,2019/2020,23,5,9,14,5,0,0,0
EPL,2019/2020,34,14,21,13,9,3,0,0
EPL,2019/2020,31,2,21,10,5,7,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,17,0,13,4,1,4,0,0
EPL,2019/2020,15,1,14,1,8,1,0,0
EPL,2019/2020,33,11,21,12,9,0,0,0
EPL,2019/2020,19,0,18,1,6,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,24,2,18,6,1,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,35,3,29,6,8,8,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,33,20,30,3,11,5,0,0
EPL,2019/2020,16,0,12,4,1,0,0,0
EPL,2019/2020,29,1,28,1,6,5,0,0
EPL,2019/2020,19,0,13,6,1,0,1,0
EPL,2019/2020,25,1,18,7,13,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,4,0,1,3,0,0,0,0
EPL,2019/2020,14,8,14,0,7,2,0,0
EPL,2019/2020,3,0,0,3,0,0,0,0
EPL,2019/2020,38,0,38,0,0,2,0,0
EPL,2019/2020,4,0,1,3,1,0,0,0
EPL,2019/2020,3,0,2,1,1,1,0,0
EPL,2019/2020,29,0,23,6,2,8,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,31,10,12,19,9,0,0,0
EPL,2019/2020,11,0,0,11,0,0,0,0
EPL,2019/2020,33,3,26,7,11,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,2,0,2,0,1,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,35,1,35,0,2,6,0,0
EPL,2019/2020,22,1,9,13,9,3,0,0
EPL,2019/2020,38,1,38,0,0,6,0,0
EPL,2019/2020,32,17,31,1,17,1,0,0
EPL,2019/2020,19,0,8,11,6,1,0,0
EPL,2019/2020,21,0,18,3,5,2,0,0
EPL,2019/2020,27,3,20,7,7,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,16,1,13,3,3,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,31,17,31,0,12,3,0,0
EPL,2019/2020,3,0,1,2,0,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,24,0,20,4,5,7,0,0
EPL,2019/2020,5,0,2,3,0,0,0,0
EPL,2019/2020,35,0,34,1,2,8,0,0
EPL,2019/2020,17,1,11,6,5,6,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,36,4,35,1,14,5,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,12,0,8,4,2,2,0,0
EPL,2019/2020,19,0,4,15,1,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,14,2,14,0,3,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,0,38,0,0,0,0,0
EPL,2019/2020,16,0,14,2,3,2,0,0
EPL,2019/2020,32,2,29,3,1,8,0,0
EPL,2019/2020,20,4,10,10,8,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,29,1,26,3,5,4,0,1
EPL,2019/2020,38,2,32,6,21,7,0,0
EPL,2019/2020,17,0,11,6,4,0,0,0
EPL,2019/2020,24,1,24,0,3,5,0,0
EPL,2019/2020,13,1,4,9,2,0,0,1
EPL,2019/2020,6,2,4,2,1,0,0,0
EPL,2019/2020,9,2,6,3,1,1,0,0
EPL,2019/2020,23,1,14,9,2,2,0,1
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,8,0,2,6,1,0,0,0
EPL,2019/2020,18,2,14,4,5,4,0,0
EPL,2019/2020,12,0,10,2,3,5,0,0
EPL,2019/2020,26,3,23,3,14,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,22,2,18,4,3,5,0,0
EPL,2019/2020,26,6,25,1,6,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,16,1,10,6,2,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,36,0,36,0,0,7,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,36,1,28,8,8,6,0,1
EPL,2019/2020,17,0,15,2,2,4,0,0
EPL,2019/2020,37,6,30,7,21,6,0,0
EPL,2019/2020,21,1,5,16,3,0,0,1
EPL,2019/2020,10,0,9,1,6,0,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,30,0,30,0,1,3,0,1
EPL,2019/2020,15,0,14,1,1,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,26,1,14,12,8,0,0,0
EPL,2019/2020,12,0,1,11,1,0,0,0
EPL,2019/2020,7,0,7,0,1,0,0,0
EPL,2019/2020,36,0,36,0,0,4,0,0
EPL,2019/2020,9,0,7,2,3,1,0,0
EPL,2019/2020,28,1,25,3,4,4,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,5,0,0,5,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,2,0,1,1,0,0,0,0
EPL,2019/2020,37,1,32,5,3,5,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,36,11,33,3,11,3,0,0
EPL,2019/2020,12,0,8,4,7,1,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,24,0,14,10,14,6,0,0
EPL,2019/2020,30,1,28,2,15,5,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,16,0,14,2,10,2,0,0
EPL,2019/2020,20,1,6,14,4,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,2,38,0,0,7,0,0
EPL,2019/2020,38,0,38,0,13,4,0,0
EPL,2019/2020,14,1,12,2,7,0,0,0
EPL,2019/2020,2,0,0,2,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,36,2,36,0,1,3,1,0
EPL,2019/2020,30,5,28,2,2,8,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,2,0,0,2,0,0,0,0
EPL,2019/2020,11,0,3,8,2,2,0,0
EPL,2019/2020,36,0,36,0,0,2,0,0
EPL,2019/2020,6,0,2,4,0,0,0,0
EPL,2019/2020,34,5,26,8,5,5,0,0
EPL,2019/2020,36,6,24,12,17,4,0,0
EPL,2019/2020,28,2,22,6,16,2,0,0
EPL,2019/2020,2,0,2,0,0,0,0,0
EPL,2019/2020,30,6,11,19,11,1,0,0
EPL,2019/2020,38,1,37,1,12,8,0,0
EPL,2019/2020,33,0,32,1,0,4,0,0
EPL,2019/2020,13,0,6,7,2,0,0,0
EPL,2019/2020,6,0,6,0,1,0,0,0
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,25,3,10,15,10,1,0,1
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,38,2,38,0,2,7,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,5,0,0,5,0,0,0,0
EPL,2019/2020,30,4,12,18,12,0,0,0
EPL,2019/2020,30,5,19,11,12,4,0,0
EPL,2019/2020,34,1,34,0,1,4,0,0
EPL,2019/2020,32,1,31,1,1,3,0,1
EPL,2019/2020,20,0,8,12,7,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,6,0,3,3,1,0,1,0
EPL,2019/2020,18,2,10,8,5,4,0,1
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,10,0,10,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,33,0,30,3,1,5,0,0
EPL,2019/2020,38,22,32,6,17,3,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,26,2,15,11,13,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,28,0,28,0,0,0,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,21,3,8,13,8,1,0,0
EPL,2019/2020,30,0,20,10,7,5,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,32,4,32,0,8,2,0,0
EPL,2019/2020,0,0,0,0,0,0,0,0
EPL,2019/2020,9,0,4,5,4,0,0,0
EPL,2019/2020,28,1,27,1,1,4,0,1
EPL,2019/2020,1,0,0,1,0,0,0,0
EPL,2019/2020,11,0,10,1,6,1,0,0
EPL,2019/2020,19,1,17,2,2,3,0,0
EPL,2019/2020,1,0,1,0,0,0,0,0
EPL,2019/2020,3,0,3,0,1,0,0,0
EPL,2019/2020,38,5,38,0,0,9,0,0
